# Efficienza dell' oscillatore per diversi valori di L1 e L2.
# Da confrontyarsi con quella teorica (v. formula)
# L1(pH)	L2(pH)	reale(%)
70		300		27.8
70		400		29.4
70		450		29
#
75		400		28.6
75		450		28.5
#
100		150		15.12
100		200		19.7
100		300		21.6
100		400		25
100		450		25.5
#
150		150		12.7
150		200		15.5
150		300		18
150		400		19.9
150		450		20
#
175		150		11.5
175		200		14
175		300		17
175		400		19
175		450		20
# 200-150 è circa il valore iniziale
200		150		10
200		200		12.7
200		300		15
200		400		16.3
200		450		16.5
#
250		200		10.6
250		300		13.3
250		400		13.7
250		450		14
